data done
2018-01-09 23:33:53.321079: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321115: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321122: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321127: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321132: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:54.701138: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties: 
name: Tesla P4
major: 6 minor: 1 memoryClockRate (GHz) 1.1135
pciBusID 0000:81:00.0
Total memory: 7.43GiB
Free memory: 7.31GiB
2018-01-09 23:33:54.701204: I tensorflow/core/common_runtime/gpu/gpu_device.cc:976] DMA: 0 
2018-01-09 23:33:54.701220: I tensorflow/core/common_runtime/gpu/gpu_device.cc:986] 0:   Y 
2018-01-09 23:33:54.701241: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P4, pci bus id: 0000:81:00.0)
('Step:', 134, 'loss:', 3.8687351, 'acc:', 0.12413196)
('Step:', 135, 'loss:', 3.944551, 'acc:', 0.10785591)
('Step:', 136, 'loss:', 3.9166048, 'acc:', 0.11039808)
('Step:', 137, 'loss:', 3.9469402, 'acc:', 0.12003969)
('Step:', 138, 'loss:', 3.9149506, 'acc:', 0.11759055)
('Step:', 139, 'loss:', 3.9387422, 'acc:', 0.10491072)
('Step:', 140, 'loss:', 3.9305079, 'acc:', 0.12351191)
('Step:', 141, 'loss:', 3.938076, 'acc:', 0.10984003)
('Step:', 142, 'loss:', 3.9312811, 'acc:', 0.10686384)
('Step:', 143, 'loss:', 3.8877416, 'acc:', 0.11135913)
('Step:', 144, 'loss:', 3.8486834, 'acc:', 0.13588171)
('Step:', 145, 'loss:', 3.8899426, 'acc:', 0.12992932)
('Step:', 146, 'loss:', 3.9288685, 'acc:', 0.11511037)
('Step:', 147, 'loss:', 3.8541627, 'acc:', 0.12918527)
('Step:', 148, 'loss:', 3.8346815, 'acc:', 0.13864088)
('Step:', 149, 'loss:', 3.8381445, 'acc:', 0.1388889)
('Step:', 150, 'loss:', 3.8689823, 'acc:', 0.12317089)
('Step:', 151, 'loss:', 3.8969378, 'acc:', 0.11046007)
('Step:', 152, 'loss:', 3.7969942, 'acc:', 0.12664311)
('Step:', 153, 'loss:', 3.7658081, 'acc:', 0.13085936)
('Step:', 154, 'loss:', 3.8189609, 'acc:', 0.12887524)
('Step:', 155, 'loss:', 3.8778005, 'acc:', 0.12472099)
('Step:', 156, 'loss:', 3.859169, 'acc:', 0.12788318)
('Step:', 157, 'loss:', 3.8356388, 'acc:', 0.14471728)
('Step:', 158, 'loss:', 3.8669071, 'acc:', 0.1326265)
('Step:', 159, 'loss:', 3.910862, 'acc:', 0.11542039)
('Step:', 160, 'loss:', 3.8258326, 'acc:', 0.12382194)
('Step:', 161, 'loss:', 3.7631335, 'acc:', 0.13674976)
('Step:', 162, 'loss:', 3.7921948, 'acc:', 0.13637772)
('Step:', 163, 'loss:', 3.8246574, 'acc:', 0.12630208)
('Step:', 164, 'loss:', 3.8364003, 'acc:', 0.11343627)
('Step:', 165, 'loss:', 3.8166227, 'acc:', 0.12983632)
('Step:', 166, 'loss:', 3.8535485, 'acc:', 0.11721851)
('Step:', 167, 'loss:', 3.9263484, 'acc:', 0.10187253)
('Step:', 168, 'loss:', 3.8997953, 'acc:', 0.10921999)
('Step:', 169, 'loss:', 3.8944442, 'acc:', 0.12267486)
('Step:', 170, 'loss:', 3.7928014, 'acc:', 0.13011535)
('Step:', 171, 'loss:', 3.835922, 'acc:', 0.11514138)
('Step:', 172, 'loss:', 3.8669076, 'acc:', 0.11498637)
('Step:', 173, 'loss:', 3.848722, 'acc:', 0.11979168)
('Step:', 174, 'loss:', 3.7777441, 'acc:', 0.14632937)
('Step:', 175, 'loss:', 3.6712687, 'acc:', 0.1655196)
